indoor_temp,indoor_humidity,outdoor_temp,outdoor_humidity,indoor_heat_index,outdoor_heat_index,dew_point,temp_discrepancy,humidity_discrepancy,heat_stress_risk,comfort_status,projected_temp_4h
30.92,59.17,39.11,67.07,34.48,64.98,22.0,8.19,7.9,1,High Heat Stress Risk,37.04
30.54,66.59,32.77,72.84,35.48,43.95,23.6,2.23,6.25,1,High Heat Stress Risk,36.58
23.81,73.42,26.73,74.38,24.16,28.72,18.76,2.92,0.96,0,Optimal Thermal Comfort,27.88
25.82,51.96,30.5,63.16,25.81,34.54,15.19,4.68,11.2,0,Optimal Thermal Comfort,31.16
28.26,80.66,29.69,85.13,32.87,38.13,24.61,1.43,4.47,1,High Heat Stress Risk,34.7
30.71,58.61,34.0,72.03,33.92,47.81,21.65,3.29,13.42,1,High Heat Stress Risk,36.26
25.18,61.73,30.11,62.21,25.37,33.51,17.3,4.93,0.48,0,Optimal Thermal Comfort,29.73
26.29,52.66,29.73,74.05,26.35,35.34,15.83,3.44,21.39,0,Optimal Thermal Comfort,31.29
22.8,31.7,26.78,33.47,21.96,26.39,5.1,3.98,1.77,0,Optimal Thermal Comfort,26.54
22.45,73.05,25.44,83.2,22.66,26.21,17.37,2.99,10.15,0,Optimal Thermal Comfort,28.06
30.09,71.21,30.8,85.65,35.56,42.21,24.29,0.71,14.44,1,High Heat Stress Risk,34.85
32.15,58.48,37.09,62.7,36.96,53.49,22.96,4.94,4.22,1,High Heat Stress Risk,37.51
26.73,62.84,34.96,77.73,27.93,54.89,19.05,8.23,14.89,0,Optimal Thermal Comfort,31.35
30.81,68.45,35.06,67.73,36.65,49.27,24.31,4.25,-0.72,1,High Heat Stress Risk,36.89
28.37,42.47,33.09,61.86,28.19,40.44,14.38,4.72,19.39,0,Optimal Thermal Comfort,33.98
24.55,55.39,30.34,63.99,24.51,34.39,15.01,5.79,8.6,0,Optimal Thermal Comfort,28.73
28.37,71.93,29.65,75.96,31.7,35.59,22.81,1.28,4.03,1,High Heat Stress Risk,33.25
32.84,46.32,40.96,52.58,34.99,60.08,19.78,8.12,6.26,1,High Heat Stress Risk,37.85
26.86,65.67,31.53,80.24,28.3,42.79,19.88,4.67,14.57,0,Optimal Thermal Comfort,31.73
32.95,45.04,40.9,49.16,34.87,57.12,19.43,7.95,4.12,1,High Heat Stress Risk,39.42
17.04,67.83,19.56,70.71,16.57,19.42,11.05,2.52,2.88,0,Optimal Thermal Comfort,21.25
30.12,61.55,38.5,68.39,33.39,63.4,21.9,8.38,6.84,1,High Heat Stress Risk,35.32
27.33,41.81,33.31,41.48,27.21,34.62,13.2,5.98,-0.33,0,Optimal Thermal Comfort,31.37
25.86,76.56,31.34,98.71,26.5,50.09,21.42,5.48,22.15,1,High Heat Stress Risk,29.89
27.35,52.82,32.09,57.07,27.96,36.41,16.86,4.74,4.25,0,Optimal Thermal Comfort,31.16
19.45,51.87,23.08,66.61,18.8,23.18,9.29,3.63,14.74,0,Optimal Thermal Comfort,23.91
26.17,64.51,33.13,74.58,26.53,45.98,18.94,6.96,10.07,0,Optimal Thermal Comfort,32.3
28.36,76.36,32.88,77.47,32.39,46.45,23.79,4.52,1.11,1,High Heat Stress Risk,33.53
32.62,49.3,32.29,57.76,35.35,37.06,20.59,-0.33,8.46,1,High Heat Stress Risk,38.38
25.03,62.77,26.66,77.15,25.23,28.79,17.43,1.63,14.38,0,Optimal Thermal Comfort,29.13
23.93,67.36,27.7,74.45,24.14,30.64,17.5,3.77,7.09,0,Optimal Thermal Comfort,28.01
25.09,70.66,30.01,88.11,25.5,40.15,19.37,4.92,17.45,0,Optimal Thermal Comfort,29.34
30.48,64.21,34.55,80.37,34.75,54.79,22.94,4.07,16.16,1,High Heat Stress Risk,35.43
28.25,57.41,35.25,72.8,29.52,52.97,19.02,7.0,15.39,0,Optimal Thermal Comfort,32.38
24.99,51.66,24.7,56.71,24.89,24.71,14.34,-0.29,5.05,0,Optimal Thermal Comfort,28.89
28.95,63.08,33.48,63.48,31.43,42.16,21.2,4.53,0.4,1,High Heat Stress Risk,33.94
27.37,48.6,27.39,52.5,27.68,27.98,15.57,0.02,3.9,0,Optimal Thermal Comfort,32.04
30.68,25.48,36.63,35.45,29.07,38.81,8.66,5.95,9.97,1,High Heat Stress Risk,36.24
24.33,67.46,28.31,80.05,24.58,32.9,17.91,3.98,12.59,0,Optimal Thermal Comfort,28.45
25.75,73.3,30.92,65.51,26.29,36.1,20.6,5.17,-7.79,0,Optimal Thermal Comfort,29.73
25.51,32.46,27.72,40.9,24.96,27.48,7.8,2.21,8.44,0,Optimal Thermal Comfort,29.72
21.44,49.38,28.58,59.06,20.93,30.22,10.39,7.14,9.68,0,Optimal Thermal Comfort,26.28
28.13,69.74,34.72,76.16,30.88,52.9,22.07,6.59,6.42,1,High Heat Stress Risk,32.48
27.99,87.72,33.53,99.0,33.32,62.02,25.76,5.54,11.28,1,High Heat Stress Risk,33.09
27.02,62.26,30.92,73.92,28.27,38.59,19.17,3.9,11.66,0,Optimal Thermal Comfort,31.83
26.11,52.9,31.64,71.23,26.16,39.79,15.74,5.53,18.33,0,Optimal Thermal Comfort,30.32
21.62,59.71,24.2,66.59,21.4,24.41,13.44,2.58,6.88,0,Optimal Thermal Comfort,24.81
25.4,79.19,31.57,94.72,26.06,49.28,21.52,6.17,15.53,1,High Heat Stress Risk,30.31
25.7,53.93,33.69,74.69,25.73,48.06,15.66,7.99,20.76,0,Optimal Thermal Comfort,29.9
23.95,52.01,30.61,70.35,23.76,36.67,13.48,6.66,18.34,0,Optimal Thermal Comfort,28.8
26.39,55.97,28.91,56.27,26.55,30.35,16.88,2.52,0.3,0,Optimal Thermal Comfort,30.05
28.54,50.08,33.57,56.68,29.09,39.75,17.11,5.03,6.6,0,Optimal Thermal Comfort,34.37
34.17,63.53,35.39,69.44,44.22,51.46,26.24,1.22,5.91,1,High Heat Stress Risk,41.23
27.66,82.31,33.18,94.48,31.58,57.13,24.36,5.52,12.17,1,High Heat Stress Risk,31.99
27.98,66.04,33.22,79.69,30.12,48.85,21.03,5.24,13.65,1,High Heat Stress Risk,33.36
26.72,58.85,26.62,61.05,27.67,27.68,17.99,-0.1,2.2,0,Optimal Thermal Comfort,30.17
19.71,58.35,21.24,67.36,19.26,21.18,11.3,1.53,9.01,0,Optimal Thermal Comfort,23.68
26.9,42.46,30.45,35.81,26.91,29.73,13.05,3.55,-6.65,0,Optimal Thermal Comfort,30.52
27.23,73.04,30.74,92.35,29.54,44.54,21.97,3.51,19.31,0,Optimal Thermal Comfort,32.2
36.36,61.03,37.78,65.68,49.9,58.22,27.61,1.42,4.65,1,High Heat Stress Risk,41.37
26.27,59.74,31.36,68.66,26.51,38.15,17.81,5.09,8.92,0,Optimal Thermal Comfort,30.82
28.15,98.0,32.92,99.0,35.79,58.57,27.8,4.77,1.0,1,High Heat Stress Risk,32.31
26.87,65.73,30.62,82.83,28.32,40.57,19.9,3.75,17.1,0,Optimal Thermal Comfort,32.08
22.56,52.6,25.02,39.82,22.25,24.62,12.37,2.46,-12.78,0,Optimal Thermal Comfort,25.69
31.34,56.67,37.95,65.05,34.72,58.43,21.69,6.61,8.38,1,High Heat Stress Risk,37.45
29.86,76.36,37.86,84.06,36.27,74.37,25.24,8.0,7.7,1,High Heat Stress Risk,35.28
30.01,63.42,33.09,68.51,33.56,43.11,22.29,3.08,5.09,1,High Heat Stress Risk,34.89
23.54,44.02,26.34,65.47,23.1,27.57,10.58,2.8,21.45,0,Optimal Thermal Comfort,27.6
32.33,73.49,37.66,75.34,42.78,65.4,26.97,5.33,1.85,1,High Heat Stress Risk,37.41
21.67,53.65,25.05,67.94,21.29,25.38,11.85,3.38,14.29,0,Optimal Thermal Comfort,25.59
29.23,85.42,33.11,96.59,36.7,58.08,26.52,3.88,11.17,1,High Heat Stress Risk,35.34
35.32,75.5,41.22,93.46,54.97,108.17,30.31,5.9,17.96,1,High Heat Stress Risk,40.92
23.24,56.41,23.04,59.9,23.09,22.96,14.08,-0.2,3.49,0,Optimal Thermal Comfort,27.57
24.85,78.01,32.08,81.02,25.43,45.11,20.75,7.23,3.01,1,High Heat Stress Risk,30.79
27.38,62.85,31.75,79.57,28.83,43.29,19.66,4.37,16.72,0,Optimal Thermal Comfort,31.53
25.09,72.66,28.34,84.35,25.55,33.75,19.82,3.25,11.69,0,Optimal Thermal Comfort,28.25
21.11,68.06,25.1,64.97,21.05,25.36,14.98,3.99,-3.09,0,Optimal Thermal Comfort,25.1
27.26,51.42,31.37,55.88,27.77,34.59,16.35,4.11,4.46,0,Optimal Thermal Comfort,31.55
22.96,53.96,23.18,65.35,22.72,23.26,13.13,0.22,11.39,0,Optimal Thermal Comfort,27.84
28.8,74.87,36.44,89.66,33.18,71.44,23.89,7.64,14.79,1,High Heat Stress Risk,34.29
23.51,57.82,27.8,61.22,23.43,29.29,14.71,4.29,3.4,0,Optimal Thermal Comfort,27.08
32.89,56.95,38.11,43.6,38.2,45.42,23.21,5.22,-13.35,1,High Heat Stress Risk,37.75
24.02,50.06,30.41,62.49,23.78,34.19,12.96,6.39,12.43,0,Optimal Thermal Comfort,29.4
25.78,67.29,27.63,66.64,26.17,29.6,19.25,1.85,-0.65,0,Optimal Thermal Comfort,29.5
30.09,87.78,35.38,81.15,40.33,59.08,27.83,5.29,-6.63,1,High Heat Stress Risk,35.43
22.32,48.66,25.91,35.91,21.88,25.49,10.97,3.59,-12.75,0,Optimal Thermal Comfort,26.92
27.86,62.3,34.01,76.91,29.49,50.48,19.97,6.15,14.61,0,Optimal Thermal Comfort,32.6
31.97,79.65,31.27,89.12,44.11,45.43,28.0,-0.7,9.47,1,High Heat Stress Risk,36.63
20.89,61.0,24.86,67.81,20.63,25.17,13.08,3.97,6.81,0,Optimal Thermal Comfort,24.61
27.7,67.65,30.52,86.57,29.83,41.51,21.16,2.82,18.92,0,Optimal Thermal Comfort,32.79
27.99,48.72,33.18,62.0,28.33,40.73,16.17,5.19,13.28,0,Optimal Thermal Comfort,33.41
29.97,67.35,35.25,87.98,34.34,63.46,23.24,5.28,20.63,1,High Heat Stress Risk,35.09
22.3,59.66,24.87,57.72,22.14,24.92,14.06,2.57,-1.94,0,Optimal Thermal Comfort,26.08
21.98,74.32,24.54,82.56,22.17,25.21,17.19,2.56,8.24,0,Optimal Thermal Comfort,25.38
28.98,76.84,32.93,73.22,34.02,44.66,24.49,3.95,-3.62,1,High Heat Stress Risk,32.81
28.13,94.37,30.27,99.0,34.99,45.07,27.14,2.14,4.63,1,High Heat Stress Risk,32.86
27.95,69.25,34.09,75.88,30.47,50.22,21.78,6.14,6.63,1,High Heat Stress Risk,34.48
28.32,66.07,31.67,79.27,30.73,42.89,21.36,3.35,13.2,1,High Heat Stress Risk,32.41
24.42,64.43,21.93,73.27,24.6,22.09,17.26,-2.49,8.84,0,Optimal Thermal Comfort,27.13
27.88,57.59,31.22,70.76,29.02,38.44,18.73,3.34,13.17,0,Optimal Thermal Comfort,31.91
28.11,66.23,29.93,80.01,30.38,37.46,21.2,1.82,13.78,1,High Heat Stress Risk,33.14
24.29,58.31,24.73,82.97,24.3,25.42,15.57,0.44,24.66,0,Optimal Thermal Comfort,28.34
34.09,64.11,35.44,70.24,44.24,52.13,26.32,1.35,6.13,1,High Heat Stress Risk,39.29
28.8,78.47,33.25,79.91,33.88,49.09,24.67,4.45,1.44,1,High Heat Stress Risk,33.1
22.47,49.42,29.73,59.76,22.06,32.28,11.35,7.26,10.34,0,Optimal Thermal Comfort,27.0
29.49,76.25,34.42,78.73,35.23,53.22,24.86,4.93,2.48,1,High Heat Stress Risk,33.48
23.3,78.46,26.1,98.08,23.73,28.65,19.34,2.8,19.62,1,High Heat Stress Risk,27.32
29.99,60.52,35.24,66.9,32.92,49.44,21.5,5.25,6.38,1,High Heat Stress Risk,35.93
31.4,35.48,34.55,39.73,30.79,36.32,14.28,3.15,4.25,1,High Heat Stress Risk,35.64
23.88,54.4,26.48,59.37,23.74,27.42,14.11,2.6,4.97,0,Optimal Thermal Comfort,26.7
30.66,78.21,32.21,92.1,39.17,50.97,26.42,1.55,13.89,1,High Heat Stress Risk,36.68
28.57,61.71,28.74,69.03,30.56,32.0,20.49,0.17,7.32,1,High Heat Stress Risk,32.42
30.12,49.51,33.43,53.2,31.15,38.2,18.38,3.31,3.69,1,High Heat Stress Risk,35.99
34.21,55.69,38.77,76.68,40.98,72.19,24.06,4.56,20.99,1,High Heat Stress Risk,39.91
26.07,72.51,30.05,74.59,26.63,36.33,20.73,3.98,2.08,0,Optimal Thermal Comfort,30.46
24.14,68.83,27.38,77.6,24.41,30.33,18.05,3.24,8.77,0,Optimal Thermal Comfort,28.58
23.62,59.01,25.64,72.41,23.58,26.15,15.13,2.02,13.4,0,Optimal Thermal Comfort,26.8
23.9,57.41,29.5,53.68,23.84,30.87,14.96,5.6,-3.73,0,Optimal Thermal Comfort,28.42
26.71,57.1,27.88,69.2,27.55,30.34,17.5,1.17,12.1,0,Optimal Thermal Comfort,30.61
28.3,50.47,34.28,51.06,28.84,39.39,17.01,5.98,0.59,0,Optimal Thermal Comfort,32.45
28.05,82.19,29.95,96.86,32.57,42.84,24.72,1.9,14.67,1,High Heat Stress Risk,32.8
30.14,57.97,32.61,59.25,32.69,38.29,20.94,2.47,1.28,1,High Heat Stress Risk,34.83
27.05,77.21,27.88,90.91,29.59,33.52,22.71,0.83,13.7,1,High Heat Stress Risk,31.11
32.52,81.02,35.57,97.81,46.78,73.42,28.83,3.05,16.79,1,High Heat Stress Risk,36.95
25.99,74.48,32.44,89.44,26.59,50.64,21.09,6.45,14.96,0,Optimal Thermal Comfort,32.05
37.34,56.6,42.72,66.99,50.48,82.53,27.24,5.38,10.39,1,High Heat Stress Risk,44.41
29.38,67.05,35.83,73.81,32.98,55.99,22.61,6.45,6.76,1,High Heat Stress Risk,35.48
23.74,61.7,29.14,65.87,23.78,32.27,15.94,5.4,4.17,0,Optimal Thermal Comfort,27.88
22.93,50.7,24.59,70.24,22.6,24.94,12.16,1.66,19.54,0,Optimal Thermal Comfort,25.32
28.83,66.05,32.27,69.31,31.69,40.95,21.84,3.44,3.26,1,High Heat Stress Risk,35.14
26.15,47.26,28.56,47.98,26.05,28.89,14.02,2.41,0.72,0,Optimal Thermal Comfort,30.39
29.71,76.85,36.97,90.34,35.98,75.2,25.2,7.26,13.49,1,High Heat Stress Risk,34.69
28.8,56.19,30.25,58.72,30.17,33.05,19.19,1.45,2.53,1,High Heat Stress Risk,33.65
26.72,64.51,32.98,65.89,28.02,41.7,19.46,6.26,1.38,0,Optimal Thermal Comfort,32.54
23.78,65.54,30.04,63.21,23.92,33.58,16.93,6.26,-2.33,0,Optimal Thermal Comfort,28.27
21.24,58.76,29.65,63.64,20.95,32.87,12.84,8.41,4.88,0,Optimal Thermal Comfort,26.65
25.3,69.33,28.56,77.21,25.7,33.03,19.27,3.26,7.88,0,Optimal Thermal Comfort,30.4
30.25,56.06,36.09,66.39,32.52,52.19,20.5,5.84,10.33,1,High Heat Stress Risk,34.86
27.81,72.89,37.26,88.53,30.67,75.2,22.49,9.45,15.64,1,High Heat Stress Risk,32.89
22.27,45.18,25.05,57.63,21.73,25.12,9.82,2.78,12.45,0,Optimal Thermal Comfort,26.75
27.66,63.58,28.33,70.65,29.32,31.42,20.11,0.67,7.07,0,Optimal Thermal Comfort,29.88
28.46,86.24,28.34,93.25,34.47,35.51,25.93,-0.12,7.01,1,High Heat Stress Risk,32.6
23.64,49.5,29.48,61.82,23.35,32.19,12.44,5.84,12.32,0,Optimal Thermal Comfort,26.99
27.58,53.53,27.45,71.57,28.28,29.81,17.28,-0.13,18.04,0,Optimal Thermal Comfort,31.34
27.22,68.42,30.56,77.87,29.09,38.75,20.89,3.34,9.45,0,Optimal Thermal Comfort,31.58
22.66,64.24,27.86,69.23,22.66,30.3,15.55,5.2,4.99,0,Optimal Thermal Comfort,26.57
28.36,66.38,32.99,67.44,30.85,42.36,21.48,4.63,1.06,1,High Heat Stress Risk,32.89
29.13,68.11,34.31,65.78,32.66,45.72,22.63,5.18,-2.33,1,High Heat Stress Risk,33.45
31.12,69.93,35.83,83.43,37.9,62.96,24.97,4.71,13.5,1,High Heat Stress Risk,38.21
31.0,75.87,38.15,88.71,39.46,80.81,26.23,7.15,12.84,1,High Heat Stress Risk,38.12
21.76,67.12,23.77,79.95,21.74,24.29,15.38,2.01,12.83,0,Optimal Thermal Comfort,24.45
23.44,58.98,26.08,66.52,23.38,26.48,14.95,2.64,7.54,0,Optimal Thermal Comfort,28.54
28.96,70.41,31.38,89.46,32.72,46.03,23.02,2.42,19.05,1,High Heat Stress Risk,33.37
28.95,85.75,35.06,90.62,35.89,64.47,26.31,6.11,4.87,1,High Heat Stress Risk,34.31
28.96,60.34,35.23,76.01,31.02,54.92,20.49,6.27,15.67,1,High Heat Stress Risk,34.2
41.64,49.82,46.88,58.03,60.21,92.69,29.0,5.24,8.21,1,High Heat Stress Risk,48.18
29.17,75.84,36.09,79.78,34.3,61.44,24.46,6.92,3.94,1,High Heat Stress Risk,35.32
31.32,60.5,32.81,73.44,35.67,44.35,22.74,1.49,12.94,1,High Heat Stress Risk,36.34
30.63,34.84,38.66,46.41,29.82,48.4,13.33,8.03,11.57,1,High Heat Stress Risk,36.07
29.48,72.59,37.18,83.77,34.37,70.31,24.02,7.7,11.18,1,High Heat Stress Risk,34.08
25.8,55.31,31.69,64.42,25.88,37.68,16.15,5.89,9.11,0,Optimal Thermal Comfort,29.88
29.88,60.87,38.18,69.08,32.77,62.56,21.49,8.3,8.21,1,High Heat Stress Risk,34.38
24.06,66.15,24.45,92.56,24.25,25.37,17.34,0.39,26.41,0,Optimal Thermal Comfort,27.74
26.1,64.38,29.09,81.76,26.45,35.39,18.84,2.99,17.38,0,Optimal Thermal Comfort,29.57
25.16,70.87,27.66,84.79,25.58,31.92,19.49,2.5,13.92,0,Optimal Thermal Comfort,29.11
27.31,56.56,33.17,65.89,28.2,42.26,17.91,5.86,9.33,0,Optimal Thermal Comfort,33.31
35.8,68.41,37.58,84.47,52.37,73.18,29.05,1.78,16.06,1,High Heat Stress Risk,42.34
19.9,58.76,25.85,71.14,19.48,26.35,11.58,5.95,12.38,0,Optimal Thermal Comfort,23.75
29.61,71.24,36.96,79.93,34.38,65.82,23.83,7.35,8.69,1,High Heat Stress Risk,35.09
20.87,69.69,26.67,75.92,20.83,28.72,15.12,5.8,6.23,0,Optimal Thermal Comfort,26.28
25.21,50.31,30.06,58.2,25.1,32.59,14.13,4.85,7.89,0,Optimal Thermal Comfort,30.11
31.14,75.57,33.07,60.3,39.79,39.81,26.3,1.93,-15.27,1,High Heat Stress Risk,35.85
27.24,55.3,29.5,65.38,28.02,32.91,17.48,2.26,10.08,0,Optimal Thermal Comfort,30.6
22.9,72.1,29.98,76.94,23.13,36.76,17.6,7.08,4.84,0,Optimal Thermal Comfort,27.69
24.28,66.59,30.27,87.04,24.5,40.75,17.65,5.99,20.45,0,Optimal Thermal Comfort,29.44
29.58,84.98,33.69,93.62,37.72,59.25,26.78,4.11,8.64,1,High Heat Stress Risk,34.16
24.22,59.21,27.46,58.79,24.24,28.58,15.75,3.24,-0.42,0,Optimal Thermal Comfort,28.56
27.82,57.63,27.36,65.76,28.95,29.07,18.68,-0.46,8.13,0,Optimal Thermal Comfort,31.65
27.17,61.76,28.91,62.41,28.44,31.25,19.18,1.74,0.65,0,Optimal Thermal Comfort,31.37
24.52,58.21,33.12,70.26,24.55,43.97,15.76,8.6,12.05,0,Optimal Thermal Comfort,27.62
35.15,72.0,36.4,82.68,52.09,65.25,29.32,1.25,10.68,1,High Heat Stress Risk,40.44
29.41,41.8,34.04,57.48,29.22,41.25,15.06,4.63,15.68,1,High Heat Stress Risk,35.24
19.3,48.83,25.82,51.4,18.56,25.8,8.26,6.52,2.57,0,Optimal Thermal Comfort,22.7
27.71,48.65,29.02,57.41,28.02,30.68,15.9,1.31,8.76,0,Optimal Thermal Comfort,32.1
24.49,73.88,29.11,72.14,24.92,33.39,19.52,4.62,-1.74,0,Optimal Thermal Comfort,28.29
30.24,83.38,36.6,97.14,39.45,79.47,27.1,6.36,13.76,1,High Heat Stress Risk,36.0
23.99,60.69,28.22,73.09,24.03,31.55,15.92,4.23,12.4,0,Optimal Thermal Comfort,28.06
26.56,59.89,37.36,72.11,27.54,61.37,18.12,10.8,12.22,0,Optimal Thermal Comfort,31.46
28.92,62.88,29.28,71.39,31.34,33.63,21.12,0.36,8.51,1,High Heat Stress Risk,34.31
30.29,76.52,36.92,88.13,37.54,72.83,25.69,6.63,11.61,1,High Heat Stress Risk,36.52
22.44,50.41,26.24,70.94,22.06,27.69,11.62,3.8,20.53,0,Optimal Thermal Comfort,25.92
25.73,64.98,31.7,71.34,26.06,40.01,18.64,5.97,6.36,0,Optimal Thermal Comfort,30.86
25.2,74.19,30.41,83.73,25.71,40.15,20.27,5.21,9.54,0,Optimal Thermal Comfort,30.16
24.52,68.26,27.03,68.62,24.81,28.79,18.28,2.51,0.36,0,Optimal Thermal Comfort,29.06
33.71,64.37,38.44,66.36,43.21,61.47,26.03,4.73,1.99,1,High Heat Stress Risk,38.21
28.54,74.51,28.47,83.75,32.5,34.01,23.55,-0.07,9.24,1,High Heat Stress Risk,33.57
22.21,28.21,27.8,44.99,21.22,27.84,2.93,5.59,16.78,0,Optimal Thermal Comfort,25.95
30.49,70.47,35.37,77.05,36.39,56.21,24.49,4.88,6.58,1,High Heat Stress Risk,35.53
35.06,53.82,40.73,60.55,42.39,66.17,24.28,5.67,6.73,1,High Heat Stress Risk,43.15
30.92,39.12,37.56,44.57,30.69,44.53,15.38,6.64,5.45,1,High Heat Stress Risk,36.78
